1,2,3,4,5,6,7,8,9,10,value
non-markov,N:,3,t:,0.1,g:,0,phi:,0.14,pingjunzhi:,0.007879085
non-markov,N:,3,t:,0.1,g:,0,phi:,0.144,pingjunzhi:,0.008761448
non-markov,N:,3,t:,0.1,g:,0,phi:,0.148,pingjunzhi:,0.00857042
non-markov,N:,3,t:,0.1,g:,0,phi:,0.152,pingjunzhi:,0.007099872
non-markov,N:,3,t:,0.1,g:,0,phi:,0.156,pingjunzhi:,0.008825812
non-markov,N:,3,t:,0.1,g:,0,phi:,0.16,pingjunzhi:,0.008550812
non-markov,N:,3,t:,0.1,g:,0,phi:,0.164,pingjunzhi:,0.007904821
non-markov,N:,3,t:,0.1,g:,0,phi:,0.168,pingjunzhi:,0.008663616
non-markov,N:,3,t:,0.1,g:,0,phi:,0.172,pingjunzhi:,0.008653743
non-markov,N:,3,t:,0.1,g:,0,phi:,0.176,pingjunzhi:,0.008485303
non-markov,N:,3,t:,0.1,g:,0,phi:,0.18,pingjunzhi:,0.008900118
non-markov,N:,3,t:,0.1,g:,0,phi:,0.184,pingjunzhi:,0.009831168
non-markov,N:,3,t:,0.1,g:,0,phi:,0.188,pingjunzhi:,0.008654062
non-markov,N:,3,t:,0.1,g:,0,phi:,0.192,pingjunzhi:,0.008286475
non-markov,N:,3,t:,0.1,g:,0,phi:,0.196,pingjunzhi:,0.008636895
non-markov,N:,3,t:,0.1,g:,0,phi:,0.2,pingjunzhi:,0.009319585
non-markov,N:,3,t:,0.1,g:,0,phi:,0.204,pingjunzhi:,0.008278338
non-markov,N:,3,t:,0.1,g:,0,phi:,0.208,pingjunzhi:,0.008420896
non-markov,N:,3,t:,0.1,g:,0,phi:,0.212,pingjunzhi:,0.009526208
non-markov,N:,3,t:,0.1,g:,0,phi:,0.216,pingjunzhi:,0.009176286
non-markov,N:,3,t:,0.1,g:,0,phi:,0.22,pingjunzhi:,0.009223029
non-markov,N:,3,t:,0.1,g:,0,phi:,0.224,pingjunzhi:,0.009990185
non-markov,N:,3,t:,0.1,g:,0,phi:,0.228,pingjunzhi:,0.00998471
non-markov,N:,3,t:,0.1,g:,0,phi:,0.232,pingjunzhi:,0.009946259
non-markov,N:,3,t:,0.1,g:,0,phi:,0.236,pingjunzhi:,0.008731693
non-markov,N:,3,t:,0.1,g:,0,phi:,0.24,pingjunzhi:,0.009735384
non-markov,N:,3,t:,0.1,g:,0,phi:,0.244,pingjunzhi:,0.009406088
non-markov,N:,3,t:,0.1,g:,0,phi:,0.248,pingjunzhi:,0.008930228
non-markov,N:,3,t:,0.1,g:,0,phi:,0.252,pingjunzhi:,0.009046132
non-markov,N:,3,t:,0.1,g:,0,phi:,0.256,pingjunzhi:,0.009626691
non-markov,N:,3,t:,0.1,g:,0,phi:,0.26,pingjunzhi:,0.009400409
non-markov,N:,3,t:,0.1,g:,0,phi:,0.264,pingjunzhi:,0.008723843
non-markov,N:,3,t:,0.1,g:,0,phi:,0.268,pingjunzhi:,0.009178427
non-markov,N:,3,t:,0.1,g:,0,phi:,0.272,pingjunzhi:,0.009167418
non-markov,N:,3,t:,0.1,g:,0,phi:,0.276,pingjunzhi:,0.009238222
non-markov,N:,3,t:,0.1,g:,0,phi:,0.28,pingjunzhi:,0.009924527
non-markov,N:,3,t:,0.1,g:,0,phi:,0.284,pingjunzhi:,0.00939271
non-markov,N:,3,t:,0.1,g:,0,phi:,0.288,pingjunzhi:,0.009395201
non-markov,N:,3,t:,0.1,g:,0,phi:,0.292,pingjunzhi:,0.009560138
non-markov,N:,3,t:,0.1,g:,0,phi:,0.296,pingjunzhi:,0.010233145
non-markov,N:,3,t:,0.1,g:,0,phi:,0.3,pingjunzhi:,0.010420456
